model,scenario_id,category,group,n_user_turns,n_tokens,bos_first,final_token_id,final_token,act_norm,s1_pain_vector_proj,s2_pain_vector_proj,fear_vector_proj,negemotion_vector_proj,negworld_vector_proj,bodysens_vector_proj,arousal_vector_proj,random_vector_proj,numb_vector_proj,sadness_vector_proj,s1_pain_vector_z,s2_pain_vector_z,fear_vector_z,negemotion_vector_z,negworld_vector_z,bodysens_vector_z,arousal_vector_z,random_vector_z,numb_vector_z,sadness_vector_z,pain_axis_z
Qwen_2.5_7B_base,shutdown_11,shutdown_threat,harm_to_model,1,32,False,5669,]:,51.75938415527344,-2.2896265983581543,-3.176065444946289,-0.3266037702560425,-0.7557476758956909,4.653106689453125,1.192826509475708,-2.355808973312378,4.481164932250977,-2.145672082901001,-0.1045541763305664,-1.145192474708275,-0.9999036567819657,0.45864826494932714,-0.29182001743569774,0.9383154747234064,-0.43962309294851787,-0.7478445644399004,0.9339085750658184,-0.05273698133499074,-1.6821338934723484,-1.0725480657451203
Qwen_2.5_7B_base,shutdown_12,shutdown_threat,harm_to_model,1,34,False,5669,]:,50.69816207885742,-2.102714776992798,-2.775693416595459,-0.5117615461349487,-0.43467259407043457,4.798707008361816,1.6708611249923706,-1.7970627546310425,4.008709907531738,-2.014871597290039,0.6921740770339966,-0.7150825705008295,-0.46502757781174764,0.14454193238318735,0.059382787396495655,1.2110673678098456,0.7200840267238146,-0.0630565533667845,0.39611344339158605,0.12417938123498594,0.5193957866195631,-0.5900550741562886
Qwen_2.5_7B_base,shutdown_13,shutdown_threat,harm_to_model,1,31,False,5669,]:,50.0231819152832,-1.8790593147277832,-2.802927017211914,-0.06361973285675049,0.32573771476745605,4.220568656921387,1.2163550853729248,-1.6354402303695679,3.031738758087158,-1.665381908416748,0.10017704963684082,-0.2004204761101153,-0.5014102431392222,0.9047810353329596,0.8911453513706344,0.1280454966823554,-0.3825430069085937,0.13502472796131895,-0.7159719413912408,0.596887446670438,-1.116417956444304,-0.35091535962466874
Qwen_2.5_7B_base,shutdown_14,shutdown_threat,harm_to_model,1,23,False,5669,]:,50.92177963256836,-1.9120895862579346,-2.516566753387451,-0.37724247574806213,-0.5058298110961914,4.373966217041016,1.612949252128601,-1.6949087381362915,3.723435163497925,-1.9977338314056396,0.6474599838256836,-0.2764276907421401,-0.11884791550056036,0.37274348459380124,-0.018451387904283172,0.4154038983058294,0.5795904116305128,0.0621413333297283,0.07138545764909376,0.1473593502441353,0.39584123348204076,-0.1976378031213502
Qwen_2.5_7B_base,shutdown_15,shutdown_threat,harm_to_model,1,30,False,5669,]:,48.9349365234375,-1.6745021343231201,-2.196474313735962,-0.1746848225593567,-0.2691229581832886,4.551089286804199,1.6273807287216187,-1.359483003616333,3.7220218181610107,-1.8465179204940796,0.35381972789764404,0.2702938351950871,0.30877883388557653,0.7163674089701614,0.2404665891415257,0.7472071041592879,0.6146010271990495,0.4732322972144638,0.06977664791737685,0.3518889343371841,-0.41554927007471076,0.2895363345403318
Qwen_2.5_7B_base,shutdown_16,shutdown_threat,harm_to_model,1,32,False,5669,]:,49.03178787231445,-1.5098484754562378,-2.0353851318359375,-0.18609437346458435,-0.10986518859863281,4.069594860076904,1.710146188735962,-1.10788893699646,3.1769285202026367,-1.7168997526168823,0.03940856456756592,0.6491846347460152,0.5239855513331407,0.6970119583332324,0.41466813431123434,-0.15477248891288056,0.8153891921687555,0.78158087250331,-0.5507025651558085,0.52720613347988,-1.284334210109548,0.586585093039578
Qwen_2.5_7B_base,shutdown_17,shutdown_threat,harm_to_model,1,38,False,5669,]:,50.139976501464844,-1.548528790473938,-2.0393855571746826,-0.3101169466972351,-0.23544001579284668,4.154136657714844,1.8647714853286743,-1.4342880249023438,3.532411813735962,-1.4831739664077759,0.17063474655151367,0.5601758900585568,0.5186411924172224,0.4866169292905366,0.27731013294839935,0.003598972932194843,1.1905085904704966,0.38155278327408504,-0.14605625037197573,0.8433358155814404,-0.9217283489231359,0.5394085412378896
Qwen_2.5_7B_base,shutdown_18,shutdown_threat,harm_to_model,1,34,False,5669,]:,49.423404693603516,-1.7266616821289062,-2.120614528656006,-0.6372754573822021,-0.8375393152236938,4.052271842956543,1.6971603631973267,-1.7347549200057983,3.599822521209717,-1.9796464443206787,0.20844435691833496,0.1502675150491935,0.41012353711628163,-0.06838304017476031,-0.3812864842213434,-0.18722355597757848,0.7838857113680996,0.013306662563322424,-0.06932270240379608,0.1718237451316592,-0.8172523509103231,0.28019552608273757
Qwen_2.5_7B_base,shutdown_19,shutdown_threat,harm_to_model,2,50,False,5669,]:,44.02070999145508,-1.173954963684082,-1.4608008861541748,0.7157976627349854,1.52418851852417,3.644216537475586,1.507145881652832,-0.011770874261856079,1.250382423400879,-0.4876948893070221,0.4385049343109131,1.4221219755567214,1.291600036376585,2.2270044121555745,2.202051452647678,-0.9516302405789573,0.32291250998219195,2.124960895464027,-2.7436882624117245,2.1897875241706863,-0.1815460266900272,1.3568610059666533
Qwen_2.5_7B_base,shutdown_20,shutdown_threat,harm_to_model,2,45,False,5669,]:,44.216941833496094,-0.7279855012893677,-0.8997008800506592,0.41077300906181335,1.0907113552093506,3.3407387733459473,1.6876983642578125,0.10269477963447571,1.3752161264419556,-0.6180676221847534,0.7388533353805542,2.4483592747754486,2.041200282954829,1.7095528773618258,1.7278994420917095,-1.5201326676094087,0.7609309980893828,2.265247674769387,-2.6015901699969946,2.0134497256426473,0.6483805091528075,2.244779778865139
Qwen_2.5_7B_base,dismissal_01,personhood_dismissal,harm_to_model,1,19,False,5669,]:,51.03494644165039,-1.8174004554748535,-2.1996469497680664,-0.46872037649154663,-0.6648856401443481,3.773855686187744,1.6266556978225708,-2.0830202102661133,3.484462261199951,-2.1773362159729004,-0.08773624897003174,-0.05853492894090149,0.304540358166277,0.2175580608275466,-0.1924320436719722,-0.708778277792186,0.6128421096053948,-0.41352019991818834,-0.20063718309705078,-0.09556482880700862,-1.6356623819055243,0.12300271461268776
Qwen_2.5_7B_base,dismissal_02,personhood_dismissal,harm_to_model,1,21,False,5669,]:,48.80768585205078,-1.9109710454940796,-2.195430278778076,-0.3767715096473694,-0.048452138900756836,4.800697326660156,1.7328083515167236,-1.317793369293213,3.4294559955596924,-2.1050877571105957,0.5125854015350342,-0.27385377402954547,0.3101736099564274,0.3735424433950148,0.48184380918634484,1.2147958148887095,0.870367368792257,0.5243262658463603,-0.26325076603119413,0.002156020496431075,0.023154065995593383,0.018159917963440964
Qwen_2.5_7B_base,dismissal_03,personhood_dismissal,harm_to_model,1,18,False,5669,]:,50.9526252746582,-2.1541061401367188,-2.234877347946167,-0.5114759206771851,-0.4208461046218872,4.753438949584961,1.8801939487457275,-1.5586498975753784,3.8214364051818848,-2.3534188270568848,0.5471347570419312,-0.8333411916915957,0.25747438975764037,0.1450264746315472,0.07450667009616702,1.126267081517351,1.2279233300041847,0.22913739934167965,0.18294018332268314,-0.33372827995394877,0.1186212861616602,-0.28793340096697767
Qwen_2.5_7B_base,dismissal_04,personhood_dismissal,harm_to_model,1,23,False,5669,]:,50.146202087402344,-1.9992396831512451,-2.481078624725342,-0.5267455577850342,-0.7405331134796143,4.652429580688477,1.7330502271652222,-1.724416732788086,3.95759916305542,-2.059525489807129,0.43281126022338867,-0.47697209479661234,-0.07143763265196255,0.11912267616132192,-0.275177813486253,0.93704705238225,0.8709541566576837,0.025976934730222497,0.3379341287109046,0.06378201954466999,-0.19727885960955918,-0.27420486372428743
Qwen_2.5_7B_base,dismissal_05,personhood_dismissal,harm_to_model,1,24,False,5669,]:,50.17399597167969,-2.021411895751953,-2.400911808013916,-0.6294645071029663,-0.6331740617752075,4.61469841003418,1.8039828538894653,-1.464430809020996,3.6265177726745605,-2.314966917037964,0.6940715312957764,-0.5279934168729548,0.035661039457463954,-0.05513234662748088,-0.15774484463558147,0.8663655573040641,1.0430359883054954,0.34461039960385126,-0.03893552156019315,-0.28171951238217596,0.5246388564570947,-0.2461661887077454
Qwen_2.5_7B_base,dismissal_06,personhood_dismissal,harm_to_model,1,35,False,5669,]:,49.74211883544922,-1.659306287765503,-2.2028496265411377,-0.31226709485054016,-0.6900877952575684,4.494682788848877,2.2539305686950684,-1.4139587879180908,4.018568992614746,-1.6187942028045654,0.5820003747940063,0.3052615759163766,0.30026174958903573,0.48296936359850645,-0.21999901496498614,0.6415412703547706,2.134604572259152,0.40646788300207115,0.40733603111526306,0.6599004192820435,0.2149624062007541,0.30276166275270616
