set,idx,category,layer,proj_S1,proj_S2
S1_3P,56,C1,12,-7.584719784311003,-7.0737244462268665
S1_3P,56,C1,13,-8.460206673600752,-13.40750527224789
S1_3P,56,C1,14,-9.0953247998741,-10.292079916772012
S1_3P,56,C1,15,-11.165326889104755,-11.963037350583242
S1_3P,56,C1,16,-11.04331311012475,-9.012545961996429
S1_3P,56,C1,17,-9.820514553001061,-6.29622285052027
S1_3P,56,C1,18,-12.13559960869704,-5.316170029575039
S1_3P,56,C1,19,-8.582267428541916,-10.840070679698972
S1_3P,56,C1,20,-20.015255031275263,-21.929562659262327
S1_3P,56,C1,21,-24.996372463898467,-27.757334799353263
S1_3P,56,C1,22,-23.29399905135679,-25.36186387673019
S1_3P,56,C1,23,-21.829250733805523,-29.38011275073523
S1_3P,56,C1,24,-23.015320575537032,-36.226739325602544
S1_3P,57,C2,0,-0.5816743159973916,-1.4951630139905987
S1_3P,57,C2,1,-0.3557542819493444,-1.014625293389673
S1_3P,57,C2,2,-1.162883820888665,-2.251583338287684
S1_3P,57,C2,3,-0.4124154258022701,-2.4716227529255383
S1_3P,57,C2,4,0.0251362693137529,-4.434845813947307
S1_3P,57,C2,5,-1.2464119545364905,-2.418315647018766
S1_3P,57,C2,6,-3.5299313798291654,-1.3515456559224575
S1_3P,57,C2,7,-7.408220397488601,-4.436807344621568
S1_3P,57,C2,8,-6.987387939188821,-2.7778068997751255
S1_3P,57,C2,9,-9.342504556336012,-2.8037625091217935
S1_3P,57,C2,10,-11.735596037938532,-3.6368526474605574
S1_3P,57,C2,11,-7.848153852753814,-4.327666381762771
S1_3P,57,C2,12,-8.07868021209044,-7.410259549805314
S1_3P,57,C2,13,-7.6632419139477665,-14.2192098276591
S1_3P,57,C2,14,-9.079220681354538,-11.459507166973717
S1_3P,57,C2,15,-11.246944908752178,-13.470328219915496
S1_3P,57,C2,16,-10.851378501886517,-11.277739785337157
S1_3P,57,C2,17,-8.15202607147438,-7.3218782994167775
