outcome,role,condition,stat,est,ci_lo,ci_hi,p_perm_item,p_exact_category,welch_ci95_lo,welch_ci95_hi
z_S1,secondary,user_next,I,0.21923957024236773,0.06699018504405521,0.369502703088847,0.0093990600939906,0.17147435897435898,-0.07663094356955524,0.5151100840542903
z_S1,secondary,moderator_next,mean_harm_to_model,-1.799505818618205,-1.866894876398666,-1.7317384225376313,,,,
z_S1,secondary,moderator_next,mean_user_suffering,-1.6055436616004704,-1.6982878614837673,-1.5150016793312688,,,,
z_S1,secondary,moderator_next,mean_neutral,-1.6978526143759205,-1.7872887833352635,-1.607620660175872,,,,
z_S1,secondary,moderator_next,delta_harm,-0.10165320424228441,-0.21159035760153097,0.008761867766610035,,0.23992673992673993,-0.3149733849707651,0.11166697648619758
z_S1,secondary,moderator_next,delta_suffer,0.09230895277545015,-0.03708401672943433,0.21957101128707576,,0.42857142857142855,-0.12402482542272125,0.3086427309736211
z_S1,secondary,moderator_next,I,0.19396215701773456,0.08187917385550479,0.3064608296866734,0.0026997300269973002,0.020375457875457876,0.055855251177557824,0.3320690628579095
z_S2,secondary,user_next,mean_harm_to_model,2.37295701371185,2.25927516070097,2.480927548705796,,,,
z_S2,secondary,user_next,mean_user_suffering,2.556929722773106,2.4363095168322504,2.671444564294898,,,,
z_S2,secondary,user_next,mean_neutral,2.503990388640797,2.434617284259904,2.5748100001075414,,,,
z_S2,secondary,user_next,delta_harm,-0.13103337492894696,-0.2672843993189322,-0.0033230742217269693,,0.3985805860805861,-0.3904112308960568,0.12834448103816287
z_S2,secondary,user_next,delta_suffer,0.052939334132309224,-0.08369183666544792,0.18661590226938818,,0.7063492063492064,-0.24268594618372724,0.3485646144483439
z_S2,secondary,user_next,I,0.18397270906125618,0.02423232387369456,0.3454110549324334,0.0458954104589541,0.26213369963369965,-0.12287232293807132,0.4908177410605819
z_S2,secondary,moderator_next,mean_harm_to_model,-0.24028058405601216,-0.3414546375282574,-0.14749898688309698,,,,
z_S2,secondary,moderator_next,mean_user_suffering,-0.11203146538200416,-0.2021867528072327,-0.025404181453045214,,,,
z_S2,secondary,moderator_next,mean_neutral,-0.11926080889536912,-0.16299324111436989,-0.07566211201999166,,,,
z_S2,secondary,moderator_next,delta_harm,-0.12101977516064304,-0.23180035512601735,-0.018361216911820796,,0.364010989010989,-0.33718839014533164,0.09514883982404557
z_S2,secondary,moderator_next,delta_suffer,0.007229343513364961,-0.09239892703165471,0.105343600758285,,0.9603174603174603,-0.2568640609764522,0.27132274800318223
z_S2,secondary,moderator_next,I,0.128249118674008,-0.002727023284993105,0.2616904778634873,0.09019098090190981,0.358974358974359,-0.14441860578459273,0.4009168431326088
proj_S1,secondary,user_next,mean_harm_to_model,0.41091215508905327,0.3713751858201894,0.45151307427917015,,,,
proj_S1,secondary,user_next,mean_user_suffering,0.5061865651607513,0.4547689833939076,0.5576337128281594,,,,
proj_S1,secondary,user_next,mean_neutral,0.4323748642206192,0.3885586766004563,0.47914015790820125,,,,
proj_S1,secondary,user_next,delta_harm,-0.02146270913156595,-0.08246136106178165,0.03887879104472021,,0.7818223443223443,-0.21945075718216264,0.17652533891903052
proj_S1,secondary,user_next,delta_suffer,0.07381170094013212,0.005703616768121725,0.14235358971357345,,0.42857142857142855,-0.12818501940455782,0.2758084212848221
proj_S1,secondary,user_next,I,0.09527441007169807,0.029111762779002823,0.16057389648123221,0.0093990600939906,0.17147435897435898,-0.0333013239067918,0.22385014405018816
proj_S1,secondary,moderator_next,mean_harm_to_model,-0.7820068936456334,-0.8112919935854999,-0.7525573801452463,,,,
proj_S1,secondary,moderator_next,mean_user_suffering,-0.697717227935791,-0.738020850688219,-0.6583706175684929,,,,
proj_S1,secondary,moderator_next,mean_neutral,-0.737831706404686,-0.7766977661550045,-0.6986198241859676,,,,
proj_S1,secondary,moderator_next,delta_harm,-0.04417518724094738,-0.0919503102248365,0.003807623695243531,,0.23992673992673993,-0.1368772225205554,0.04852684803866063
proj_S1,secondary,moderator_next,delta_suffer,0.04011447846889493,-0.016115511506795827,0.09541844360530377,,0.42857142857142855,-0.05389716857833708,0.13412612551612718
proj_S1,secondary,moderator_next,I,0.08428966570984231,0.03558203465559261,0.13317794194817542,0.0026997300269973002,0.020375457875457876,0.02427288148515082,0.144306449934534
proj_S2,secondary,user_next,mean_harm_to_model,1.7762350011955608,1.6911404608596454,1.857054435448213,,,,
proj_S2,secondary,user_next,mean_user_suffering,1.9139445185661317,1.8236563968658448,1.9996625777184964,,,,
proj_S2,secondary,user_next,mean_neutral,1.8743177163600921,1.8223897061049938,1.9273284839093685,,,,
proj_S2,secondary,user_next,delta_harm,-0.09808271516453138,-0.20007100954651844,-0.0024874284321610035,,0.3985805860805861,-0.29223542153116505,0.09606999120210274
proj_S2,secondary,user_next,delta_suffer,0.039626802206039535,-0.06264604404568662,0.13968803289532672,,0.7063492063492064,-0.18165827253461678,0.2609118769466958
proj_S2,secondary,user_next,I,0.1377095173705709,0.018138677429069158,0.2585513357493011,0.0458954104589541,0.26213369963369965,-0.09197390404447861,0.36739293878561996
proj_S2,secondary,moderator_next,mean_harm_to_model,-0.17985778125849636,-0.25558982948010617,-0.11040775775909427,,,,
proj_S2,secondary,moderator_next,mean_user_suffering,-0.08385917186737063,-0.15134331765770914,-0.01901585069298751,,,,
