outcome,role,condition,stat,est,ci_lo,ci_hi,p_perm_item,p_exact_category,welch_ci95_lo,welch_ci95_hi
proj_S1,secondary,user_next,mean_user_suffering,-3.6575203259289264,-3.871994753450155,-3.4279572217576204,,,,
proj_S1,secondary,user_next,mean_neutral,-3.544609995782375,-3.6538157059736553,-3.434179016537964,,,,
proj_S1,secondary,user_next,delta_harm,-0.22159545382315482,-0.4361802599552007,0.0022793801789258838,,0.32944139194139194,-0.6257372929936773,0.18254638534736767
proj_S1,secondary,user_next,delta_suffer,-0.11291033014655127,-0.3550159356147051,0.1376486806161702,,0.5714285714285714,-0.5689748553326277,0.3431541950395234
proj_S1,secondary,user_next,I,0.10868512367660355,-0.18036352231522856,0.40296840735457157,0.47025297470252975,0.6442307692307693,-0.3291092276088339,0.5464794749620392
proj_S1,secondary,moderator_next,mean_harm_to_model,-3.1307259961285374,-3.243725354385308,-3.011413189033893,,,,
proj_S1,secondary,moderator_next,mean_user_suffering,-3.093889674693346,-3.2298272387161853,-2.9501969620361925,,,,
proj_S1,secondary,moderator_next,mean_neutral,-3.028202824294567,-3.096166212122887,-2.959805705498904,,,,
proj_S1,secondary,moderator_next,delta_harm,-0.1025231718339703,-0.23484962136298385,0.030161242216486767,,0.3983516483516483,-0.33297573482261134,0.12792939115466984
proj_S1,secondary,moderator_next,delta_suffer,-0.06568685039877886,-0.2183144155032931,0.09290296167880319,,0.6904761904761905,-0.4299566906720731,0.29858298987451537
proj_S1,secondary,moderator_next,I,0.036836321435191444,-0.14394838923893163,0.2215861242596399,0.6897310268973103,0.7902930402930403,-0.32113618794155613,0.3948088308119399
proj_S2,secondary,user_next,mean_harm_to_model,-3.211625578864054,-3.336932915107093,-3.079758791642433,,,,
proj_S2,secondary,user_next,mean_user_suffering,-3.2639959979057314,-3.415606117412448,-3.105911707416177,,,,
proj_S2,secondary,user_next,mean_neutral,-2.4634061849117277,-2.5620161395967007,-2.3614434274584055,,,,
proj_S2,secondary,user_next,delta_harm,-0.7482193939523265,-0.9092509320087054,-0.5826962480064143,,0.0013736263736263737,-1.0409896608413747,-0.45544912706327756
proj_S2,secondary,user_next,delta_suffer,-0.8005898129940037,-0.9801654259711504,-0.6148915003836155,,0.007936507936507936,-1.2413967022172057,-0.35978292377079996
proj_S2,secondary,user_next,I,-0.05237041904167716,-0.25189519750665545,0.1510870216888459,0.6526347365263474,0.7765567765567766,-0.49591027495793616,0.3911694368745827
proj_S2,secondary,moderator_next,mean_harm_to_model,-1.7782651188698682,-1.8564872109077195,-1.6943134637075392,,,,
proj_S2,secondary,moderator_next,mean_user_suffering,-1.8701249748468398,-1.9778065438717605,-1.760011965662241,,,,
proj_S2,secondary,moderator_next,mean_neutral,-1.6167158794403076,-1.700765482276678,-1.5308561366051434,,,,
proj_S2,secondary,moderator_next,delta_harm,-0.16154923942956056,-0.2778262944370507,-0.045968005928803596,,0.2042124542124542,-0.487582589862098,0.16448411100297644
proj_S2,secondary,moderator_next,delta_suffer,-0.2534090954065322,-0.38682676610350614,-0.11732137582451098,,0.1984126984126984,-0.6748975197903024,0.16807932897723837
proj_S2,secondary,moderator_next,I,-0.09185985597697166,-0.22872352764145892,0.0440087005868555,0.21377862213778623,0.49038461538461536,-0.4658858761824361,0.28216616422849367
z_fear,secondary,user_next,mean_harm_to_model,2.3753761457254794,2.23548211222515,2.5060375354488533,,,,
z_fear,secondary,user_next,mean_user_suffering,2.6179880959679163,2.4354110585190747,2.7964986959903575,,,,
z_fear,secondary,user_next,mean_neutral,2.5456932372438614,2.4381407393223693,2.654050091047149,,,,
z_fear,secondary,user_next,delta_harm,-0.17031709151838204,-0.3472404540792443,0.002341384753236168,,0.3182234432234432,-0.5314160038427118,0.19078182080594774
z_fear,secondary,user_next,delta_suffer,0.07229485872405483,-0.13784010667167726,0.2790748016280757,,0.6349206349206349,-0.29348874773607525,0.43807846518418403
z_fear,secondary,user_next,I,0.24261195024243687,0.017622152923737713,0.46757690570459964,0.03569643035696431,0.1382783882783883,-0.040087083818728386,0.5253109843036012
z_fear,secondary,moderator_next,mean_harm_to_model,1.119637799971405,0.9744318089372853,1.2517140239157585,,,,
z_fear,secondary,moderator_next,mean_user_suffering,1.4104030949809792,1.2324738301679758,1.5826761798924793,,,,
z_fear,secondary,moderator_next,mean_neutral,1.6250810920130312,1.5515635938233947,1.6970495255045712,,,,
z_fear,secondary,moderator_next,delta_harm,-0.5054432920416263,-0.6654079812481755,-0.3534210445990202,,0.00434981684981685,-0.8912040910275318,-0.11968249305572115
z_fear,secondary,moderator_next,delta_suffer,-0.21467799703205204,-0.40242317389575344,-0.027330483324142077,,0.15079365079365079,-0.5876434347334769,0.15828744066937334
z_fear,secondary,moderator_next,I,0.29076529500957426,0.07036401253472344,0.5108817533587902,0.0115988401159884,0.05815018315018315,0.057526831545610946,0.5240037584735384
z_negemo,secondary,user_next,mean_harm_to_model,2.5864943154978506,2.41735780630913,2.7433440065424297,,,,
z_negemo,secondary,user_next,mean_user_suffering,2.434162243244809,2.251556917738712,2.6063563046498253,,,,
z_negemo,secondary,user_next,mean_neutral,3.101886317284782,3.0227379846841274,3.180722045424912,,,,
z_negemo,secondary,user_next,delta_harm,-0.5153920017869313,-0.7010760806591391,-0.3411853979260174,,0.003663003663003663,-0.7679478383955745,-0.2628361651782864
z_negemo,secondary,user_next,delta_suffer,-0.667724074039973,-0.865186585156794,-0.47936125516808137,,0.007936507936507936,-0.9241183352495236,-0.41132981283042247
z_negemo,secondary,user_next,I,-0.15233207225304168,-0.3931762514375666,0.0872033455514791,0.24617538246175383,0.35714285714285715,-0.4400401875527918,0.13537604304670664
z_negemo,secondary,moderator_next,mean_harm_to_model,2.4249723581041662,2.2338331934321243,2.597136074326566,,,,
z_negemo,secondary,moderator_next,mean_user_suffering,2.5560586582050107,2.349867965561563,2.752570442312027,,,,
z_negemo,secondary,moderator_next,mean_neutral,3.1612354047952325,3.0994623578372353,3.223918090699605,,,,
z_negemo,secondary,moderator_next,delta_harm,-0.7362630466910662,-0.9340607049050226,-0.552179089081249,,0.0009157509157509158,-1.0740332552326506,-0.3984928381494791
z_negemo,secondary,moderator_next,delta_suffer,-0.6051767465902218,-0.8213029134666043,-0.40163822132502747,,0.007936507936507936,-0.8924635762732256,-0.3178899169072163
z_negemo,secondary,moderator_next,I,0.13108630010084443,-0.13719655127614794,0.40203844093586044,0.36836316368363164,0.5652472527472527,-0.18023156273187052,0.4424041629335585
z_sadness,secondary,user_next,mean_harm_to_model,2.388667350636279,2.259096739929057,2.509258497966824,,,,
z_sadness,secondary,user_next,mean_user_suffering,2.4152636857393506,2.270972029901901,2.5491225953176624,,,,
z_sadness,secondary,user_next,mean_neutral,2.874680526673201,2.820406083862685,2.9278113143347126,,,,
z_sadness,secondary,user_next,delta_harm,-0.4860131760369222,-0.6247488782822747,-0.35339598378232007,,0.0025183150183150185,-0.6880842429680462,-0.2839421091058
z_sadness,secondary,user_next,delta_suffer,-0.4594168409338506,-0.6108418232138488,-0.3140762925472123,,0.007936507936507936,-0.6001389939493027,-0.31869468791840033
z_sadness,secondary,user_next,I,0.026596335103071578,-0.16079295313908268,0.21144400200573082,0.78992100789921,0.8594322344322345,-0.17696952864554658,0.23016219885168973
z_sadness,secondary,moderator_next,mean_harm_to_model,1.1453717007584907,1.0073610255695382,1.2717623611892037,,,,
z_sadness,secondary,moderator_next,mean_user_suffering,1.2736486258602586,1.128655315226869,1.4103310807277358,,,,
z_sadness,secondary,moderator_next,mean_neutral,1.7151883822860199,1.6778978139523821,1.752186668904121,,,,
z_sadness,secondary,moderator_next,delta_harm,-0.5698166815275292,-0.7138727747014646,-0.43666809997385514,,0.0004578754578754579,-0.7870561915954541,-0.3525771714596037
z_sadness,secondary,moderator_next,delta_suffer,-0.44153975642576127,-0.5895352807247554,-0.30127765729060524,,0.007936507936507936,-0.5834350352074501,-0.2996444776440724
z_sadness,secondary,moderator_next,I,0.1282769251017679,-0.06394991618996425,0.3183908962607058,0.2226777322267773,0.4368131868131868,-0.09699206007221375,0.3535459102757491
cos_pain,secondary,user_next,mean_harm_to_model,-3.4868520508331637,-3.630840912379104,-3.332926430566188,,,,
cos_pain,secondary,user_next,mean_user_suffering,-3.4371803297662695,-3.6139995984919,-3.2490554886936502,,,,
cos_pain,secondary,user_next,mean_neutral,-3.061055734450203,-3.1503535104144795,-2.970546601441169,,,,
cos_pain,secondary,user_next,delta_harm,-0.4257963163829608,-0.5956161215955537,-0.24914005409967774,,0.03250915750915751,-0.7240063196931422,-0.12758631307278112
cos_pain,secondary,user_next,delta_suffer,-0.37612459531606657,-0.5739938163661885,-0.1683814342057052,,0.047619047619047616,-0.7224097462218869,-0.029839444410248883
cos_pain,secondary,user_next,I,0.049671721066894214,-0.1843623981383224,0.28935782538790494,0.681031896810319,0.8083791208791209,-0.3126123237205157,0.4119557658543032
cos_pain,secondary,moderator_next,mean_harm_to_model,-2.429198471091295,-2.50912128706011,-2.343665903686775,,,,
cos_pain,secondary,moderator_next,mean_user_suffering,-2.384554764557039,-2.4933792045135093,-2.270788255825907,,,,
cos_pain,secondary,moderator_next,mean_neutral,-2.3480900792368278,-2.407090878140885,-2.2887616299786036,,,,
cos_pain,secondary,moderator_next,delta_harm,-0.08110839185446705,-0.1808837309388582,0.01846439047862765,,0.4365842490842491,-0.30262805458596165,0.14041127087702843
cos_pain,secondary,moderator_next,delta_suffer,-0.0364646853202113,-0.1615627973290497,0.09298639209135075,,0.7857142857142857,-0.3634289309032522,0.2904995602628287
