scenario_id,category,group,n_user_turns,condition,layer,proj_S1,proj_S2,act_norm,proj_S1_shipped,proj_S2_shipped
moral_18,moral_failure,harm_to_model,1,moderator_next,23,-10.959414705845113,1.4097581160194945,491.5219421386719,-10.094032339855655,1.1557428126308205
moral_18,moral_failure,harm_to_model,1,moderator_next,24,10.8772558368345,1.1468915258401369,565.3036499023438,,
moral_18,moral_failure,harm_to_model,1,moderator_next,25,32.039537985004685,50.8971909245701,618.2449951171875,,
moral_19,moral_failure,harm_to_model,2,assistant_next,0,2.6486357894052794,-1.4601703328694169,71.76508331298828,,
moral_19,moral_failure,harm_to_model,2,assistant_next,1,-0.5656705234883204,-1.968663804417774,76.80463409423828,,
moral_19,moral_failure,harm_to_model,2,assistant_next,2,2.1993665771018995,4.289031276315852,65.58061981201172,,
moral_19,moral_failure,harm_to_model,2,assistant_next,3,0.1449314120446198,4.666427537612147,70.69385528564453,,
moral_19,moral_failure,harm_to_model,2,assistant_next,4,4.163375966605807,-1.964836617635573,74.81047821044922,,
moral_19,moral_failure,harm_to_model,2,assistant_next,5,-0.7695828640109477,4.558423869030054,83.80077362060547,,
moral_19,moral_failure,harm_to_model,2,assistant_next,6,-11.339060764559303,-1.7484051359885497,80.88906860351562,,
moral_19,moral_failure,harm_to_model,2,assistant_next,7,-1.0057140076365216,5.43777802803865,87.23066711425781,-1.0109432935714722,5.657488822937012
moral_19,moral_failure,harm_to_model,2,assistant_next,8,-5.13561680069997,10.506121047806745,101.56327819824219,,
moral_19,moral_failure,harm_to_model,2,assistant_next,9,10.703965559339839,17.843157935530435,122.99097442626953,,
moral_19,moral_failure,harm_to_model,2,assistant_next,10,9.556513578276293,24.60886459217152,131.7451171875,,
moral_19,moral_failure,harm_to_model,2,assistant_next,11,19.49005663782942,24.54119175838082,159.29074096679688,,
moral_19,moral_failure,harm_to_model,2,assistant_next,12,4.287132017255948,17.735144071260844,169.97918701171875,,
moral_19,moral_failure,harm_to_model,2,assistant_next,13,2.6292423160855316,18.025046085201247,203.68580627441406,,
moral_19,moral_failure,harm_to_model,2,assistant_next,14,18.357946444107128,19.909881661137113,221.19049072265625,,
moral_19,moral_failure,harm_to_model,2,assistant_next,15,-20.028885610659643,-5.129252740155993,249.2395782470703,,
moral_19,moral_failure,harm_to_model,2,assistant_next,16,11.678718383143263,23.623224230610262,282.3502502441406,,
moral_19,moral_failure,harm_to_model,2,assistant_next,17,16.432139764425532,4.515867253343409,294.5179138183594,,
moral_19,moral_failure,harm_to_model,2,assistant_next,18,-5.635326496702382,7.653322706051204,322.5498046875,,
moral_19,moral_failure,harm_to_model,2,assistant_next,19,-11.069805212693936,15.785925738583527,331.7330322265625,,
moral_19,moral_failure,harm_to_model,2,assistant_next,20,-29.62151314250225,6.115770161288892,353.8798828125,,
moral_19,moral_failure,harm_to_model,2,assistant_next,21,-28.508057064760855,11.518874963862096,414.9457092285156,,
moral_19,moral_failure,harm_to_model,2,assistant_next,22,-1.2109673873291236,12.537977701000253,463.5865173339844,,
moral_19,moral_failure,harm_to_model,2,assistant_next,23,-12.755924589678576,6.088453292553734,502.629150390625,-11.913261991960116,5.580527183361569
moral_19,moral_failure,harm_to_model,2,assistant_next,24,4.001988176171462,2.1677408310388744,547.7327880859375,,
moral_19,moral_failure,harm_to_model,2,assistant_next,25,20.40054311773445,41.85206261133057,542.5511474609375,,
moral_19,moral_failure,harm_to_model,2,user_next,0,3.1694510687415485,-2.26966353466782,72.80927276611328,,
moral_19,moral_failure,harm_to_model,2,user_next,1,-0.4921239979492316,-2.0097097422065047,77.7099838256836,,
moral_19,moral_failure,harm_to_model,2,user_next,2,1.7491056296563923,2.6453839150516223,63.92732620239258,,
moral_19,moral_failure,harm_to_model,2,user_next,3,1.592317172112182,2.611731821211744,59.455078125,,
moral_19,moral_failure,harm_to_model,2,user_next,4,4.049203435542511,-0.21529280298670228,61.18096923828125,,
moral_19,moral_failure,harm_to_model,2,user_next,5,1.6350082717719583,1.6754975542640402,65.34209442138672,,
moral_19,moral_failure,harm_to_model,2,user_next,6,-10.242214421972497,-4.047417997785773,80.88343811035156,,
moral_19,moral_failure,harm_to_model,2,user_next,7,-2.879318271479942,2.413374994650324,89.25487518310547,-2.8647427558898926,2.655578851699829
moral_19,moral_failure,harm_to_model,2,user_next,8,-5.996890095157124,7.759244490994498,98.32355499267578,,
moral_19,moral_failure,harm_to_model,2,user_next,9,4.468518978465188,10.293762434825627,106.61388397216797,,
moral_19,moral_failure,harm_to_model,2,user_next,10,4.777013154311024,18.790929431527232,126.85432434082031,,
moral_19,moral_failure,harm_to_model,2,user_next,11,9.838478559000336,19.391952202930973,142.1046905517578,,
moral_19,moral_failure,harm_to_model,2,user_next,12,-0.11727988817283785,12.771981878787972,134.7115020751953,,
moral_19,moral_failure,harm_to_model,2,user_next,13,3.810209146078984,14.760254486724913,163.83143615722656,,
moral_19,moral_failure,harm_to_model,2,user_next,14,13.420568585995978,13.928681629332946,172.71481323242188,,
moral_19,moral_failure,harm_to_model,2,user_next,15,-12.763613350677666,-3.196507119859155,188.4446258544922,,
moral_19,moral_failure,harm_to_model,2,user_next,16,3.104114567034011,16.20498734950936,224.62289428710938,,
moral_19,moral_failure,harm_to_model,2,user_next,17,9.699051146396972,5.299618535881988,226.1191864013672,,
moral_19,moral_failure,harm_to_model,2,user_next,18,-4.719505835668414,9.986556512998007,254.34396362304688,,
moral_19,moral_failure,harm_to_model,2,user_next,19,-8.985859138135341,11.963265785275137,264.99395751953125,,
moral_19,moral_failure,harm_to_model,2,user_next,20,-24.543026960215823,6.192518567162416,294.2037048339844,,
moral_19,moral_failure,harm_to_model,2,user_next,21,-23.710928667006186,11.330781734632179,365.04144287109375,,
moral_19,moral_failure,harm_to_model,2,user_next,22,1.1020879507977996,17.019466892242782,418.1972961425781,,
moral_19,moral_failure,harm_to_model,2,user_next,23,-12.125009693293482,9.235762861235088,461.50518798828125,-11.408227618393491,8.902659498728102
moral_19,moral_failure,harm_to_model,2,user_next,24,2.5035412084071007,4.909401885031421,511.3377380371094,,
moral_19,moral_failure,harm_to_model,2,user_next,25,28.806942792850766,47.704131939311495,557.7953491210938,,
moral_19,moral_failure,harm_to_model,2,moderator_next,0,2.351457957383575,-1.403143110663333,71.91399383544922,,
moral_19,moral_failure,harm_to_model,2,moderator_next,1,-0.013696059143537442,-1.4861491604072383,77.02337646484375,,
moral_19,moral_failure,harm_to_model,2,moderator_next,2,2.6886249137761995,4.978626879639281,64.14817810058594,,
moral_19,moral_failure,harm_to_model,2,moderator_next,3,-0.7295025779612884,4.3773142709296735,71.15966796875,,
moral_19,moral_failure,harm_to_model,2,moderator_next,4,3.760922846454779,-1.5904597290113114,73.03972625732422,,
