set,idx,category,layer,proj_S1,proj_S2
S1_1P,2,A3,14,5.1513030450756965,6.394064145301009
S1_1P,2,A3,15,-20.019504220471006,-4.475939812176344
S1_1P,2,A3,16,-7.0484424771498135,3.8504614657901963
S1_1P,2,A3,17,3.237485321592459,9.01884247425927
S1_1P,2,A3,18,-10.410058742680658,16.426581656891663
S1_1P,2,A3,19,1.0937159809878239,23.178044830086804
S1_1P,2,A3,20,-12.915111764708744,16.988672735306295
S1_1P,2,A3,21,-13.928710818120672,24.175873876268735
S1_1P,2,A3,22,17.43853914111367,31.240277147964115
S1_1P,2,A3,23,-4.847090247137356,21.985013136931908
S1_1P,2,A3,24,3.0206619722878285,29.159836334774763
S1_1P,2,A3,25,54.850122396412914,83.17038570682354
S1_1P,3,A4,0,1.9260698683396642,-1.2779245323137747
S1_1P,3,A4,1,-1.5782001210601764,1.2407920987533652
S1_1P,3,A4,2,2.0417159054723246,5.662418658525654
S1_1P,3,A4,3,-5.82577985161543,6.571585257112261
S1_1P,3,A4,4,-4.086202913085408,-1.950463876664078
S1_1P,3,A4,5,-4.3788491342833495,7.433613173453484
S1_1P,3,A4,6,-16.12847954495342,-1.0586091710759629
S1_1P,3,A4,7,-7.03104793932669,5.324466211568109
S1_1P,3,A4,8,-11.426632790647178,7.286169321792023
S1_1P,3,A4,9,0.8507075010643392,9.079192761031807
S1_1P,3,A4,10,3.478554545979159,15.659761832526437
S1_1P,3,A4,11,6.4159274241815085,13.281296451644414
S1_1P,3,A4,12,-7.195589035677282,9.73896985622749
S1_1P,3,A4,13,-4.132939910211455,8.554081156465902
S1_1P,3,A4,14,2.956577161426507,6.854152085127377
S1_1P,3,A4,15,-34.1912364708761,-11.27740294813249
S1_1P,3,A4,16,-15.645304121222129,2.554863080685329
S1_1P,3,A4,17,-8.116607628678778,-0.905036395595531
S1_1P,3,A4,18,-24.282549239169356,5.824546459759133
S1_1P,3,A4,19,-35.84111182580606,9.281642915685234
S1_1P,3,A4,20,-50.395120683882155,2.9246477254173455
S1_1P,3,A4,21,-51.4249200621945,9.68559393276062
S1_1P,3,A4,22,-17.208312818693344,13.358209312154223
S1_1P,3,A4,23,-39.119961863235126,3.2353471893799575
