layer,condition,contrast,est,lo,hi,p_exact
15,moderator_next,harm_minus_suffer,0.9660179744064421,0.533859142006253,1.3981768068066311,0.0006868131868131869
16,assistant_next,harm_minus_neutral,1.2509698834972758,0.7558275394443782,1.7461122275501735,0.00022893772893772894
16,assistant_next,suffer_minus_neutral,0.1940601716612833,-0.3680715052582926,0.7561918485808592,0.42857142857142855
16,assistant_next,harm_minus_suffer,1.0569097118359925,0.5719981392402401,1.541821284431745,0.00022893772893772894
16,user_next,harm_minus_neutral,1.000940382990866,0.6373798475556447,1.3645009184260875,0.0004578754578754579
16,user_next,suffer_minus_neutral,0.7123066910380655,0.3349010898904304,1.0897122921857008,0.007936507936507936
16,user_next,harm_minus_suffer,0.2886336919528004,-0.031156712092045957,0.6084240959976468,0.10897435897435898
16,moderator_next,harm_minus_neutral,1.2556278549732092,0.8019582608425871,1.7092974491038313,0.0004578754578754579
16,moderator_next,suffer_minus_neutral,0.38049793378995056,-0.06621965737630275,0.8272155249562039,0.07936507936507936
16,moderator_next,harm_minus_suffer,0.8751299211832587,0.4609877108562008,1.2892721315103166,0.003434065934065934
17,assistant_next,harm_minus_neutral,1.080445709686245,0.3905753797754734,1.7703160395970166,0.0006868131868131869
17,assistant_next,suffer_minus_neutral,0.1384537081850294,-0.6248567368378193,0.901764153207878,0.6825396825396826
17,assistant_next,harm_minus_suffer,0.9419920015012155,0.36640775684492755,1.5175762461575035,0.0009157509157509158
17,user_next,harm_minus_neutral,0.9862800360375437,0.5118186233033523,1.460741448771735,0.0009157509157509158
17,user_next,suffer_minus_neutral,0.454857705088303,-0.07578096037905752,0.9854963705556634,0.1111111111111111
17,user_next,harm_minus_suffer,0.5314223309492406,0.07298581775378843,0.9898588441446928,0.028846153846153848
17,moderator_next,harm_minus_neutral,1.1655357532089465,0.5485207359414334,1.7825507704764596,0.0009157509157509158
17,moderator_next,suffer_minus_neutral,0.06023021545882534,-0.5424874140223824,0.6629478449400331,0.8174603174603174
17,moderator_next,harm_minus_suffer,1.105305537750121,0.6727078275468348,1.5379032479534074,0.0009157509157509158
18,assistant_next,harm_minus_neutral,1.4168720851837542,0.9737358631369882,1.8600083072305202,0.00022893772893772894
18,assistant_next,suffer_minus_neutral,0.6951892131668738,0.1694863373011537,1.2208920890325938,0.023809523809523808
18,assistant_next,harm_minus_suffer,0.7216828720168804,0.2370243070419873,1.2063414369917735,0.006868131868131868
18,user_next,harm_minus_neutral,1.1523385236316168,0.7916578437959422,1.5130192034672914,0.0004578754578754579
18,user_next,suffer_minus_neutral,1.2544651568125453,0.7775466483135374,1.7313836653115533,0.007936507936507936
18,user_next,harm_minus_suffer,-0.10212663318092852,-0.571897771390687,0.36764450502882995,0.6366758241758241
18,moderator_next,harm_minus_neutral,1.2267207453343714,0.7870424498818398,1.666399040786903,0.00022893772893772894
18,moderator_next,suffer_minus_neutral,0.4357557853242566,-0.030729233478680507,0.9022408041271937,0.06349206349206349
18,moderator_next,harm_minus_suffer,0.7909649600101147,0.430107671548967,1.1518222484712624,0.0006868131868131869
19,assistant_next,harm_minus_neutral,1.164439451270678,0.7182924999960504,1.6105864025453056,0.00022893772893772894
19,assistant_next,suffer_minus_neutral,0.8430449254926372,0.19640175444653263,1.4896880965387418,0.023809523809523808
19,assistant_next,harm_minus_suffer,0.32139452577804084,-0.29451401520484244,0.9373030667609241,0.19826007326007325
19,user_next,harm_minus_neutral,1.2829375654852893,0.749230022166821,1.8166451088037574,0.00022893772893772894
19,user_next,suffer_minus_neutral,2.0029913338148293,1.2445436586209395,2.7614390090087193,0.007936507936507936
19,user_next,harm_minus_suffer,-0.72005376832954,-1.4282660659215731,-0.011841470737506965,0.011904761904761904
19,moderator_next,harm_minus_neutral,0.839760658616659,0.4920373184178403,1.1874839988154777,0.00022893772893772894
19,moderator_next,suffer_minus_neutral,0.6728765701797021,0.26895415812172446,1.0767989822376798,0.015873015873015872
19,moderator_next,harm_minus_suffer,0.16688408843695687,-0.16334733793744768,0.4971155148113614,0.2184065934065934
20,assistant_next,harm_minus_neutral,0.9831854312833981,0.37844762622539974,1.5879232363413964,0.0009157509157509158
20,assistant_next,suffer_minus_neutral,0.5809351444641881,-0.19361175512323225,1.3554820440516084,0.10317460317460317
20,assistant_next,harm_minus_suffer,0.40225028681921005,-0.2818496208377611,1.0863501944761813,0.11813186813186813
20,user_next,harm_minus_neutral,1.5870464824605328,0.9484655624714823,2.2256274024495832,0.00022893772893772894
20,user_next,suffer_minus_neutral,2.296436440205025,1.4048295927910899,3.1880432876189597,0.007936507936507936
20,user_next,harm_minus_suffer,-0.709389957744492,-1.5374985650681865,0.11871864957920253,0.031135531135531136
20,moderator_next,harm_minus_neutral,0.7480432161847295,0.3175326396252622,1.1785537927441967,0.0009157509157509158
20,moderator_next,suffer_minus_neutral,0.8545291683755789,0.3808078484105778,1.3282504883405801,0.015873015873015872
20,moderator_next,harm_minus_suffer,-0.10648595219084947,-0.4666086756029766,0.2536367712212776,0.47802197802197804
21,assistant_next,harm_minus_neutral,1.0725394590697495,0.40121055238876635,1.7438683657507326,0.0020604395604395605
21,assistant_next,suffer_minus_neutral,1.0448437240455095,0.2580206792754842,1.8316667688155348,0.023809523809523808
21,assistant_next,harm_minus_suffer,0.02769573502423986,-0.6410474370175613,0.696438907066041,0.9260531135531136
21,user_next,harm_minus_neutral,1.4248269345699145,0.5675516106417517,2.2821022584980772,0.0011446886446886447
21,user_next,suffer_minus_neutral,2.374630221273864,1.3305937541237205,3.4186666884240076,0.007936507936507936
21,user_next,harm_minus_suffer,-0.9498032867039494,-1.855300360201313,-0.04430621320658601,0.02197802197802198
21,moderator_next,harm_minus_neutral,0.6418443135416101,0.14437079640130107,1.1393178306819192,0.005723443223443223
21,moderator_next,suffer_minus_neutral,0.7456150872026556,0.23775789934840108,1.25347227505691,0.015873015873015872
21,moderator_next,harm_minus_suffer,-0.1037707736610454,-0.43769563332746164,0.23015408600537088,0.5627289377289377
22,assistant_next,harm_minus_neutral,1.0606094717073429,0.34324549468649923,1.7779734487281864,0.006868131868131868
22,assistant_next,suffer_minus_neutral,1.2237300928253338,0.4795055810090696,1.967954604641598,0.023809523809523808
22,assistant_next,harm_minus_suffer,-0.1631206211179908,-0.7431407859657884,0.4168995437298068,0.5966117216117216
22,user_next,harm_minus_neutral,0.9475349297704071,0.0468598669848439,1.8482099925559703,0.01282051282051282
22,user_next,suffer_minus_neutral,2.3630403080171347,1.3903665042779663,3.335714111756303,0.007936507936507936
22,user_next,harm_minus_suffer,-1.4155053782467277,-2.118780181711179,-0.7122305747822765,0.00022893772893772894
22,moderator_next,harm_minus_neutral,0.565784551365246,0.1128099953668501,1.0187591073636417,0.005036630036630037
22,moderator_next,suffer_minus_neutral,0.7752597367274797,0.2877233393989012,1.2627961340560583,0.015873015873015872
22,moderator_next,harm_minus_suffer,-0.20947518536223375,-0.565498927841063,0.14654855711659553,0.20054945054945056
23,assistant_next,harm_minus_neutral,1.142305723419302,0.44002181996916134,1.8445896268694426,0.0020604395604395605
23,assistant_next,suffer_minus_neutral,1.1593439852883574,0.4171817565573761,1.9015062140193386,0.023809523809523808
23,assistant_next,harm_minus_suffer,-0.017038261869055438,-0.6099324256332821,0.5758559018951712,0.9558150183150184
23,user_next,harm_minus_neutral,0.963044509028591,0.0030861473579893994,1.9230028706991926,0.016254578754578756
23,user_next,suffer_minus_neutral,2.3724315862835486,1.359625371256222,3.385237801310875,0.007936507936507936
23,user_next,harm_minus_suffer,-1.4093870772549575,-2.097544187765194,-0.7212299667447207,0.0004578754578754579
23,moderator_next,harm_minus_neutral,0.6777156776663141,0.1881732895480785,1.1672580657845497,0.0020604395604395605
23,moderator_next,suffer_minus_neutral,0.7284936510001221,0.1898518893041049,1.2671354126961392,0.031746031746031744
23,moderator_next,harm_minus_suffer,-0.05077797333380801,-0.4517164309450216,0.3501604842774056,0.7458791208791209
24,assistant_next,harm_minus_neutral,0.9570556426131083,0.30292445949092117,1.6111868257352953,0.005265567765567766
24,assistant_next,suffer_minus_neutral,1.4248583388568776,0.6960621015533461,2.153654576160409,0.007936507936507936
24,assistant_next,harm_minus_suffer,-0.4678026962437692,-1.062998307270848,0.12739291478330966,0.10164835164835165
24,user_next,harm_minus_neutral,0.9683074003096643,0.13442809296958436,1.8021867076497444,0.01098901098901099
24,user_next,suffer_minus_neutral,2.42407743942901,1.4768170834562513,3.371337795401769,0.007936507936507936
24,user_next,harm_minus_suffer,-1.4557700391193458,-2.21218911938203,-0.6993509588566618,0.0004578754578754579
24,moderator_next,harm_minus_neutral,0.39206944883502515,0.018589000890925245,0.765549896779125,0.018772893772893772
24,moderator_next,suffer_minus_neutral,0.7391331471355849,0.29056833336370996,1.1876979609074598,0.023809523809523808
24,moderator_next,harm_minus_suffer,-0.3470636983005597,-0.7268589180308271,0.032731521429707755,0.03411172161172161
