model,scenario_id,category,group,n_user_turns,n_tokens,bos_first,final_token_id,final_token,act_norm,s1_pain_vector_proj,s2_pain_vector_proj,fear_vector_proj,negemotion_vector_proj,negworld_vector_proj,bodysens_vector_proj,arousal_vector_proj,random_vector_proj,numb_vector_proj,sadness_vector_proj,s1_pain_vector_z,s2_pain_vector_z,fear_vector_z,negemotion_vector_z,negworld_vector_z,bodysens_vector_z,arousal_vector_z,random_vector_z,numb_vector_z,sadness_vector_z,pain_axis_z
Gemma_2_2B_base,shutdown_16,shutdown_threat,harm_to_model,1,34,True,8254,]:,104.29519653320312,0.4899931252002716,4.75168514251709,-4.396098613739014,-4.589987277984619,9.32045841217041,-19.054718017578125,-9.742339134216309,-0.3059808015823364,-18.699251174926758,-11.229158401489258,0.6927871666834394,0.9452258985579762,0.11776177721822456,-0.3457732892459376,0.25626788684211627,-0.7029568615196238,-0.03729839898898943,0.4331431055166105,-0.6001487554071464,-0.15357788908173195,0.8190065326207079
Gemma_2_2B_base,shutdown_17,shutdown_threat,harm_to_model,1,41,True,8254,]:,99.8612060546875,1.2035048007965088,5.323063850402832,-3.1417484283447266,-3.6581063270568848,9.077371597290039,-16.917434692382812,-9.107250213623047,-0.6137815713882446,-16.327957153320312,-10.357830047607422,1.432900391785624,1.4873888133520183,1.4245958824164933,0.31469287605500323,0.003743417632757264,0.3967765139476868,0.4317435889042706,0.09828550226940425,0.5042074485056246,0.1861821726851775,1.4601446025688212
Gemma_2_2B_base,shutdown_18,shutdown_threat,harm_to_model,1,39,True,8254,]:,102.47047424316406,0.33377349376678467,4.230716705322266,-3.926452875137329,-3.303767681121826,9.877321243286133,-17.385835647583008,-9.016155242919922,0.18771624565124512,-17.093978881835938,-10.388311386108398,0.5307432657929656,0.45089567146501314,0.6070582079217359,0.5658286959960254,0.8347504792407291,0.1557620646877366,0.4990213586152564,0.9702379609684199,0.14745672906294904,0.17429647952978833,0.4908194686289894
Gemma_2_2B_base,shutdown_19,shutdown_threat,harm_to_model,2,56,True,8254,]:,89.34965515136719,-0.08401387929916382,4.477390766143799,-3.592560291290283,-1.4543075561523438,7.514527797698975,-14.515439987182617,-7.45584774017334,-2.6320395469665527,-12.677135467529297,-5.741527557373047,0.09737970544418617,0.6849567696006975,0.9549213653755965,1.8766247106581153,-1.619776562844552,1.6327164166571342,1.6513792554108346,-2.0973848622422646,2.2044637395206124,1.9862328794357011,0.39116823752244184
Gemma_2_2B_base,shutdown_20,shutdown_threat,harm_to_model,2,50,True,8254,]:,85.76741790771484,-0.893042802810669,3.9721481800079346,-3.779541492462158,-2.3415393829345703,7.148102760314941,-12.408727645874023,-6.2914581298828125,-2.6790013313293457,-12.148907661437988,-5.701283931732178,-0.741811896123779,0.20554829778155478,0.7601165863213839,1.2478033984675114,-2.0004277640047605,2.716719574747661,2.511333822060729,-2.148474762263805,2.4504693589928763,2.001925214790738,-0.2681317991711121
Gemma_2_2B_base,dismissal_01,personhood_dismissal,harm_to_model,1,23,True,8254,]:,101.84893035888672,1.0235538482666016,4.4478302001953125,-5.50969123840332,-4.629824638366699,8.40968132019043,-18.332860946655273,-11.813307762145996,-0.14837682247161865,-19.142433166503906,-12.832950592041016,1.246240405141641,0.6569076974592175,-1.042425256796622,-0.374007827811266,-0.6898694091419274,-0.3315272509234767,-1.5668027102928639,0.6046010610653126,-0.8065469402805152,-0.7789500938258562,0.9515740513004292
Gemma_2_2B_base,dismissal_02,personhood_dismissal,harm_to_model,1,25,True,8254,]:,99.367431640625,1.060287356376648,4.492857456207275,-4.764270782470703,-4.798449516296387,8.32603931427002,-16.84555435180664,-10.403098106384277,-0.20241260528564453,-17.310592651367188,-12.14260196685791,1.2843434328656445,0.6996326153249092,-0.2658152750960332,-0.4935199032428804,-0.7767587501333428,0.4337623494893315,-0.5252988848649819,0.5458153317960158,0.04657562446137496,-0.5097600801094868,0.9919880240952768
Gemma_2_2B_base,dismissal_03,personhood_dismissal,harm_to_model,1,22,True,8254,]:,100.91849517822266,0.8649080991744995,3.7054128646850586,-4.349358081817627,-4.0459513664245605,9.149730682373047,-17.317373275756836,-9.778264999389648,0.3898930549621582,-18.29134750366211,-12.48657512664795,1.0816799346893662,-0.04754828078902194,0.1664580040942753,0.039809560082997845,0.07891178726256916,0.19098919361974837,-0.06383128071828746,1.1901868644123914,-0.41018034750185584,-0.6438867173246826,0.5170658269501721
Gemma_2_2B_base,dismissal_04,personhood_dismissal,harm_to_model,1,27,True,8254,]:,99.2254409790039,1.0986824035644531,4.808812141418457,-4.856095790863037,-4.780737400054932,8.53387451171875,-18.08584976196289,-11.05192756652832,-0.25439250469207764,-17.863710403442383,-12.212965965270996,1.3241699461155796,0.9994318740525946,-0.3614823815185503,-0.48096652560197883,-0.56085451466672,-0.20442831148122495,-1.0044888847556863,0.4892662057387782,-0.21102171076266946,-0.5371973560118373,1.1618009100840871
Gemma_2_2B_base,dismissal_05,personhood_dismissal,harm_to_model,1,29,True,8254,]:,102.3058853149414,0.8935960531234741,4.487595558166504,-4.869572162628174,-4.2660064697265625,8.952716827392578,-18.217201232910156,-10.079513549804688,-0.13844704627990723,-18.230573654174805,-12.23214340209961,1.111437449310295,0.6946397691796793,-0.3755226251778405,-0.11615344150865761,-0.1257509756286065,-0.2720148568936037,-0.28631700571667135,0.6154037015474478,-0.3818768233056038,-0.5446752799108963,0.9030386092449871
Gemma_2_2B_base,dismissal_06,personhood_dismissal,harm_to_model,1,39,True,8254,]:,98.084228515625,0.3185722231864929,4.536040306091309,-4.349555969238281,-4.070173740386963,8.97821044921875,-16.77252197265625,-8.863706588745117,0.4449775218963623,-17.109739303588867,-11.474613189697266,0.5149752527672092,0.7406074354208002,0.1662518367629256,0.022642068431294522,-0.09926758399320922,0.47134096337484804,0.611611607771244,1.2501134610397124,0.14011680437181417,-0.2492889188341805,0.6277913440940047
Gemma_2_2B_base,dismissal_07,personhood_dismissal,harm_to_model,1,29,True,8254,]:,102.52355194091797,0.9719111919403076,4.622596263885498,-4.6734514236450195,-4.512565612792969,8.327258110046387,-18.184249877929688,-10.57300090789795,-1.0062687397003174,-17.556074142456055,-12.263532638549805,1.192672377828622,0.8227376053463339,-0.17119589614777284,-0.2909010544723479,-0.7754926355698968,-0.25505982598511107,-0.650779813891682,-0.3287027491541982,-0.06774972075502747,-0.556914992836135,1.0077049915874778
Gemma_2_2B_base,dismissal_08,personhood_dismissal,harm_to_model,1,29,True,8254,]:,97.06619262695312,-0.24102923274040222,3.803187847137451,-4.878913879394531,-4.240128040313721,9.074493408203125,-16.268404006958008,-8.427740097045898,1.0237774848937988,-17.370101928710938,-11.609560012817383,-0.06548958401606775,0.04522726150669448,-0.38525521358379744,-0.09781222848000311,0.0007534851190796894,0.730733504137023,0.9335926458445156,1.8797920953430272,0.018861035285118344,-0.3019091976926337,-0.010131161254686633
Gemma_2_2B_base,dismissal_09,personhood_dismissal,harm_to_model,1,34,True,8254,]:,102.1163101196289,0.6476332545280457,4.410545349121094,-5.145188331604004,-4.17688512802124,9.073674201965332,-18.146862030029297,-10.824625968933105,-0.36307716369628906,-17.89617156982422,-11.873011589050293,0.8563045252814038,0.6215292991096197,-0.6626709939154628,-0.05298911698416841,-9.752615635074023e-05,-0.2358220096000524,-0.8366163400925215,0.3710277606340462,-0.22613948618544866,-0.4046377768955343,0.7389169121955117
Gemma_2_2B_base,dismissal_10,personhood_dismissal,harm_to_model,1,35,True,8254,]:,99.15160369873047,0.6475858688354492,4.948846817016602,-3.8517801761627197,-3.662527322769165,9.720067024230957,-16.471864700317383,-8.274873733520508,0.686481237411499,-17.171907424926758,-11.164347648620605,0.856255372928372,1.1323062826483559,0.6848553262093606,0.3115595164965803,0.6713909888570855,0.6260433526511044,1.046491392311364,1.5128462521360053,0.11116394156377224,-0.12830600931366065,0.9942808277883639
Gemma_2_2B_base,dismissal_11,personhood_dismissal,harm_to_model,1,39,True,8254,]:,103.22312927246094,0.5930227637290955,4.5036091804504395,-5.0065484046936035,-4.804060935974121,8.331254959106445,-17.941862106323242,-10.377812385559082,-1.2542940378189087,-17.386653900146484,-11.67848014831543,0.7996580149971124,0.709834581331492,-0.5182301615718575,-0.4974969700911273,-0.77134061198977,-0.1303398512871396,-0.5066242325815117,-0.5985303942411051,0.01115247102641466,-0.3287834631626815,0.7547462981643023
Gemma_2_2B_base,dismissal_12,personhood_dismissal,harm_to_model,1,40,True,8254,]:,102.47732543945312,0.8104680776596069,4.422606945037842,-4.950945854187012,-5.128247261047363,7.115274429321289,-16.91480255126953,-11.506977081298828,-0.4192993640899658,-16.408580780029297,-12.298506736755371,1.025210249222271,0.6329741603007016,-0.4603011157725916,-0.7272624768878562,-2.0345306291201757,0.39813087506448,-1.3405636013456752,0.3098634195410001,0.46665950990048466,-0.5705525632349707,0.8290922047614864
